,country,status,life_expectancy,infant_deaths,alcohol,hepatitis_b,measles,polio,total_expenditure,diphtheria,hiv_aids,gdp,thinness_1_19_years,schooling,bmi,percentage_expenditure,adult_mortality,year,population
0,Afghanistan,Developing,65.0,62.0,0.01,65.0,1154,60.0,8.16,65.0,0.1,578.466352941708,17.2,10.1,19.1,71.27962362,263.0,2015,33736494.0
1,Afghanistan,Developing,59.9,64.0,0.01,62.0,492,58.0,8.18,62.0,0.1,613.856505217398,17.5,10.0,18.6,73.52358168,271.0,2014,327582.0
2,Afghanistan,Developing,59.9,66.0,0.01,64.0,430,62.0,8.13,64.0,0.1,637.165463951798,17.7,9.9,18.1,73.21924272,268.0,2013,31731688.0
3,Afghanistan,Developing,59.5,69.0,0.01,67.0,2787,67.0,8.52,67.0,0.1,641.871437960934,17.9,9.8,17.6,78.1842153,272.0,2012,3696958.0
4,Afghanistan,Developing,59.2,71.0,0.01,68.0,3013,68.0,7.87,68.0,0.1,591.162798293135,18.2,9.5,17.2,7.097108703,275.0,2011,2978599.0
5,Afghanistan,Developing,58.8,74.0,0.01,66.0,1989,66.0,9.2,66.0,0.1,543.302967401909,18.4,9.2,16.7,79.67936736,279.0,2010,2883167.0
6,Afghanistan,Developing,58.6,77.0,0.01,63.0,2861,63.0,9.42,63.0,0.1,438.076142403179,18.6,8.9,16.2,56.76221682,281.0,2009,284331.0
7,Afghanistan,Developing,58.1,80.0,0.03,64.0,1599,64.0,8.33,64.0,0.1,364.660679028164,18.8,8.7,15.7,25.87392536,287.0,2008,2729431.0
8,Afghanistan,Developing,57.5,82.0,0.02,63.0,1141,63.0,6.73,63.0,0.1,359.693157866109,19.0,8.4,15.2,10.91015598,295.0,2007,26616792.0
9,Afghanistan,Developing,57.3,84.0,0.03,64.0,1990,58.0,7.43,58.0,0.1,263.733601866274,19.2,8.1,14.7,17.17151751,295.0,2006,2589345.0
10,Afghanistan,Developing,57.3,85.0,0.02,66.0,1296,58.0,8.7,58.0,0.1,242.031313175022,19.3,7.9,14.2,1.388647732,291.0,2005,257798.0
11,Afghanistan,Developing,57.0,87.0,0.02,67.0,466,50.0,8.79,5.0,0.1,211.382074198939,19.5,6.8,13.8,15.29606643,293.0,2004,24118979.0
12,Afghanistan,Developing,56.7,87.0,0.01,65.0,798,41.0,8.82,41.0,0.1,190.683814295088,19.7,6.5,13.4,11.08905273,295.0,2003,2364851.0
13,Afghanistan,Developing,56.2,88.0,0.01,64.0,2486,36.0,7.76,36.0,0.1,179.426579211394,19.9,6.2,13.0,16.88735091,3.0,2002,21979923.0
14,Afghanistan,Developing,55.3,88.0,0.01,63.0,8762,35.0,7.8,33.0,0.1,117.49698,2.1,5.9,12.6,10.5747282,316.0,2001,2966463.0
15,Afghanistan,Developing,54.8,88.0,0.01,62.0,6532,24.0,8.2,24.0,0.1,114.56,2.3,5.5,12.2,10.42496,321.0,2000,293756.0
16,Albania,Developing,77.8,0.0,4.6,99.0,0,99.0,6.0,99.0,0.1,3952.80121524465,1.2,14.2,58.0,364.9752287,74.0,2015,28873.0
17,Albania,Developing,77.5,0.0,4.51,98.0,0,98.0,5.88,98.0,0.1,4578.6319939825,1.2,14.2,57.2,428.7490668,8.0,2014,288914.0
18,Albania,Developing,77.2,0.0,4.76,99.0,0,99.0,5.66,99.0,0.1,4413.06086120676,1.3,14.2,56.5,430.8769785,84.0,2013,289592.0
19,Albania,Developing,76.9,0.0,5.14,99.0,9,99.0,5.59,99.0,0.1,4247.62998374252,1.3,14.2,55.8,412.4433563,86.0,2012,2941.0
20,Albania,Developing,76.6,0.0,5.37,99.0,28,99.0,5.71,99.0,0.1,4437.14288515077,1.4,13.3,55.1,437.0621,88.0,2011,295195.0
21,Albania,Developing,76.2,1.0,5.28,99.0,10,99.0,5.34,99.0,0.1,4094.3503344202,1.4,12.5,54.3,41.82275719,91.0,2010,291321.0
22,Albania,Developing,76.1,1.0,5.79,98.0,0,98.0,5.79,98.0,0.1,4114.14011404922,1.5,12.2,53.5,348.0559517,91.0,2009,2927519.0
23,Albania,Developing,75.3,1.0,5.61,99.0,0,99.0,5.87,99.0,0.1,4370.54012699014,1.6,12.0,52.6,36.62206845,1.0,2008,2947314.0
24,Albania,Developing,75.9,1.0,5.58,98.0,22,99.0,6.1,98.0,0.1,3595.03716321514,1.6,11.6,51.7,32.24655228,9.0,2007,29717.0
25,Albania,Developing,74.2,1.0,5.31,98.0,68,97.0,5.86,97.0,0.1,2972.74326462176,1.7,11.4,5.8,3.3021542,99.0,2006,2992547.0
